time,open,high,low,close
2025-05-20T14:30:00.000000000Z,1.12636,1.12646,1.12558,1.12568
2025-05-20T14:35:00.000000000Z,1.12566,1.12568,1.12526,1.12547
2025-05-20T14:40:00.000000000Z,1.12549,1.12604,1.12547,1.12578
2025-05-20T14:45:00.000000000Z,1.12576,1.12612,1.12547,1.12598
2025-05-20T14:50:00.000000000Z,1.126,1.12682,1.126,1.12674
2025-05-20T14:55:00.000000000Z,1.12674,1.12693,1.12652,1.12686
2025-05-20T15:00:00.000000000Z,1.12687,1.127,1.12643,1.12654
2025-05-20T15:05:00.000000000Z,1.12654,1.12654,1.12604,1.12632
2025-05-20T15:10:00.000000000Z,1.12634,1.12642,1.12573,1.12573
2025-05-20T15:15:00.000000000Z,1.12574,1.1263,1.12564,1.12564
2025-05-20T15:20:00.000000000Z,1.12564,1.12598,1.12546,1.12582
2025-05-20T15:25:00.000000000Z,1.1258,1.12611,1.1256,1.126
2025-05-20T15:30:00.000000000Z,1.12599,1.12599,1.12542,1.12544
2025-05-20T15:35:00.000000000Z,1.12545,1.12574,1.12528,1.12547
2025-05-20T15:40:00.000000000Z,1.12548,1.12554,1.12534,1.12547
2025-05-20T15:45:00.000000000Z,1.12548,1.12572,1.12532,1.12532
2025-05-20T15:50:00.000000000Z,1.12532,1.12536,1.12495,1.12506
2025-05-20T15:55:00.000000000Z,1.12506,1.1255,1.125,1.12531
2025-05-20T16:00:00.000000000Z,1.12532,1.12552,1.1253,1.12549
2025-05-20T16:05:00.000000000Z,1.12548,1.12574,1.12526,1.12538
2025-05-20T16:10:00.000000000Z,1.12538,1.1258,1.12515,1.12532
2025-05-20T16:15:00.000000000Z,1.12532,1.12536,1.12487,1.12506
2025-05-20T16:20:00.000000000Z,1.12506,1.12528,1.12493,1.12493
2025-05-20T16:25:00.000000000Z,1.12492,1.12492,1.12456,1.12476
2025-05-20T16:30:00.000000000Z,1.12477,1.12504,1.12464,1.12473
2025-05-20T16:35:00.000000000Z,1.1247,1.1249,1.12452,1.12465
2025-05-20T16:40:00.000000000Z,1.12467,1.12488,1.12466,1.12486
2025-05-20T16:45:00.000000000Z,1.12486,1.12504,1.1248,1.12494
2025-05-20T16:50:00.000000000Z,1.12495,1.12554,1.1249,1.12554
2025-05-20T16:55:00.000000000Z,1.12554,1.1258,1.1254,1.12569
2025-05-20T17:00:00.000000000Z,1.12568,1.12579,1.12558,1.12578
2025-05-20T17:05:00.000000000Z,1.12578,1.1258,1.12554,1.12563
2025-05-20T17:10:00.000000000Z,1.12564,1.12574,1.1255,1.1255
2025-05-20T17:15:00.000000000Z,1.12549,1.1263,1.12549,1.1263
