Symbol,RSI_PERIOD,BUY_THRESH,SELL_THRESH,ATR_MULTIPLIER,MIN_SL,TP_SL_RATIO,TotalTrades,Profit,WinRate
USD_JPY,14,20,80,1.0,0.02,1.5,281,116.25,46.98
USD_JPY,14,20,80,1.0,0.02,2.0,281,39.16,44.48
USD_JPY,14,20,80,1.0,0.03,1.0,281,311.09,53.74
USD_JPY,14,20,80,1.0,0.03,1.5,281,116.25,46.98
USD_JPY,14,20,80,1.0,0.03,2.0,281,39.16,44.48
USD_JPY,14,20,80,1.5,0.02,1.0,281,84.19,51.6
USD_JPY,14,20,80,1.5,0.02,1.5,281,134.77,48.75
USD_JPY,14,20,80,1.5,0.02,2.0,281,318.34,48.04
USD_JPY,14,20,80,1.5,0.03,1.0,281,84.19,51.6
USD_JPY,14,20,80,1.5,0.03,1.5,281,134.77,48.75
USD_JPY,14,20,80,1.5,0.03,2.0,281,318.34,48.04
USD_JPY,14,20,80,2.0,0.02,1.0,281,251.74,52.67
USD_JPY,14,20,80,2.0,0.02,1.5,281,385.56,50.89
USD_JPY,14,20,80,2.0,0.02,2.0,281,168.61,49.11
USD_JPY,14,20,80,2.0,0.03,1.0,281,251.74,52.67
USD_JPY,14,20,80,2.0,0.03,1.5,281,385.56,50.89
USD_JPY,14,20,80,2.0,0.03,2.0,281,168.61,49.11
USD_JPY,14,25,70,1.0,0.02,1.0,746,1033.05,53.49
USD_JPY,14,25,70,1.0,0.02,1.5,746,225.94,47.99
USD_JPY,14,25,70,1.0,0.02,2.0,746,-32.57,45.58
USD_JPY,14,25,70,1.0,0.03,1.0,746,1033.05,53.49
USD_JPY,14,25,70,1.0,0.03,1.5,746,225.94,47.99
USD_JPY,14,25,70,1.0,0.03,2.0,746,-32.57,45.58
USD_JPY,14,25,70,1.5,0.02,1.0,746,511.67,52.55
USD_JPY,14,25,70,1.5,0.02,1.5,746,404.15,49.87
USD_JPY,14,25,70,1.5,0.02,2.0,746,611.17,49.33
USD_JPY,14,25,70,1.5,0.03,1.0,746,511.67,52.55
USD_JPY,14,25,70,1.5,0.03,1.5,746,404.15,49.87
USD_JPY,14,25,70,1.5,0.03,2.0,746,611.17,49.33
USD_JPY,14,25,70,2.0,0.02,1.0,746,992.51,52.95
USD_JPY,14,25,70,2.0,0.02,1.5,746,988.84,51.61
USD_JPY,14,25,70,2.0,0.02,2.0,746,587.39,50.8
USD_JPY,14,25,70,2.0,0.03,1.0,746,992.51,52.95
USD_JPY,14,25,70,2.0,0.03,1.5,746,988.84,51.61
USD_JPY,14,25,70,2.0,0.03,2.0,746,587.39,50.8
USD_JPY,14,25,75,1.0,0.02,1.0,566,803.7,53.53
USD_JPY,14,25,75,1.0,0.02,1.5,566,87.64,46.29
USD_JPY,14,25,75,1.0,0.02,2.0,566,-141.71,43.11
USD_JPY,14,25,75,1.0,0.03,1.0,566,803.7,53.53
USD_JPY,14,25,75,1.0,0.03,1.5,566,87.64,46.29
USD_JPY,14,25,75,1.0,0.03,2.0,566,-141.71,43.11
USD_JPY,14,25,75,1.5,0.02,1.0,566,52.39,50.71
USD_JPY,14,25,75,1.5,0.02,1.5,566,-22.47,47.17
USD_JPY,14,25,75,1.5,0.02,2.0,566,121.65,46.47
USD_JPY,14,25,75,1.5,0.03,1.0,566,52.39,50.71
USD_JPY,14,25,75,1.5,0.03,1.5,566,-22.47,47.17
USD_JPY,14,25,75,1.5,0.03,2.0,566,121.65,46.47
USD_JPY,14,25,75,2.0,0.02,1.0,566,384.96,51.06
USD_JPY,14,25,75,2.0,0.02,1.5,566,382.41,49.29
USD_JPY,14,25,75,2.0,0.02,2.0,566,103.37,48.23
USD_JPY,14,25,75,2.0,0.03,1.0,566,384.96,51.06
USD_JPY,14,25,75,2.0,0.03,1.5,566,382.41,49.29
USD_JPY,14,25,75,2.0,0.03,2.0,566,103.37,48.23
USD_JPY,14,25,80,1.0,0.02,1.0,450,462.93,52.89
USD_JPY,14,25,80,1.0,0.02,1.5,450,-117.84,43.78
USD_JPY,14,25,80,1.0,0.02,2.0,450,-303.86,39.78
USD_JPY,14,25,80,1.0,0.03,1.0,450,462.93,52.89
USD_JPY,14,25,80,1.0,0.03,1.5,450,-117.84,43.78
USD_JPY,14,25,80,1.0,0.03,2.0,450,-303.86,39.78
USD_JPY,14,25,80,1.5,0.02,1.0,450,-216.21,48.89
USD_JPY,14,25,80,1.5,0.02,1.5,450,-271.96,44.44
USD_JPY,14,25,80,1.5,0.02,2.0,450,-164.62,43.56
USD_JPY,14,25,80,1.5,0.03,1.0,450,-216.21,48.89
USD_JPY,14,25,80,1.5,0.03,1.5,450,-271.96,44.44
USD_JPY,14,25,80,1.5,0.03,2.0,450,-164.62,43.56
USD_JPY,14,25,80,2.0,0.02,1.0,450,231.17,50.44
USD_JPY,14,25,80,2.0,0.02,1.5,450,228.9,48.22
USD_JPY,14,25,80,2.0,0.02,2.0,450,-19.15,46.89
USD_JPY,14,25,80,2.0,0.03,1.0,450,231.17,50.44
USD_JPY,14,25,80,2.0,0.03,1.5,450,228.9,48.22
USD_JPY,14,25,80,2.0,0.03,2.0,450,-19.15,46.89
USD_JPY,14,30,70,1.0,0.02,1.0,1024,851.54,52.44
USD_JPY,14,30,70,1.0,0.02,1.5,1024,-200.91,45.61
USD_JPY,14,30,70,1.0,0.02,2.0,1024,-503.72,42.58
USD_JPY,14,30,70,1.0,0.03,1.0,1024,851.56,52.44
USD_JPY,14,30,70,1.0,0.03,1.5,1024,-200.91,45.61
USD_JPY,14,30,70,1.0,0.03,2.0,1024,-503.72,42.58
USD_JPY,14,30,70,1.5,0.02,1.0,1024,-85.58,50.59
USD_JPY,14,30,70,1.5,0.02,1.5,1024,-336.5,47.07
USD_JPY,14,30,70,1.5,0.02,2.0,1024,-345.77,46.19
USD_JPY,14,30,70,1.5,0.03,1.0,1024,-85.58,50.59
USD_JPY,14,30,70,1.5,0.03,1.5,1024,-336.5,47.07
USD_JPY,14,30,70,1.5,0.03,2.0,1024,-345.77,46.19
USD_JPY,14,30,70,2.0,0.02,1.0,1024,26.22,50.59
USD_JPY,14,30,70,2.0,0.02,1.5,1024,-140.84,48.83
USD_JPY,14,30,70,2.0,0.02,2.0,1024,-376.71,47.95
USD_JPY,14,30,70,2.0,0.03,1.0,1024,26.22,50.59
USD_JPY,14,30,70,2.0,0.03,1.5,1024,-140.84,48.83
USD_JPY,14,30,70,2.0,0.03,2.0,1024,-376.71,47.95
USD_JPY,14,30,75,1.0,0.02,1.0,844,642.67,52.25
USD_JPY,14,30,75,1.0,0.02,1.5,844,-291.06,43.96
USD_JPY,14,30,75,1.0,0.02,2.0,844,-559.71,40.28
USD_JPY,14,30,75,1.0,0.03,1.0,844,642.68,52.25
USD_JPY,14,30,75,1.0,0.03,1.5,844,-291.05,43.96
USD_JPY,14,30,75,1.0,0.03,2.0,844,-559.7,40.28
USD_JPY,14,30,75,1.5,0.02,1.0,844,-363.4,48.93
USD_JPY,14,30,75,1.5,0.02,1.5,844,-538.09,44.67
USD_JPY,14,30,75,1.5,0.02,2.0,844,-544.54,43.6
USD_JPY,14,30,75,1.5,0.03,1.0,844,-363.4,48.93
USD_JPY,14,30,75,1.5,0.03,1.5,844,-538.09,44.67
USD_JPY,14,30,75,1.5,0.03,2.0,844,-544.54,43.6
USD_JPY,14,30,75,2.0,0.02,1.0,844,-286.69,48.82
USD_JPY,14,30,75,2.0,0.02,1.5,844,-402.81,46.68
USD_JPY,14,30,75,2.0,0.02,2.0,844,-566.76,45.62
USD_JPY,14,30,75,2.0,0.03,1.0,844,-286.69,48.82
USD_JPY,14,30,75,2.0,0.03,1.5,844,-402.81,46.68
USD_JPY,14,30,75,2.0,0.03,2.0,844,-566.76,45.62
USD_JPY,14,30,80,1.0,0.02,1.0,728,332.32,51.65
USD_JPY,14,30,80,1.0,0.02,1.5,728,-425.0,42.03
USD_JPY,14,30,80,1.0,0.02,2.0,728,-642.89,37.77
USD_JPY,14,30,80,1.0,0.03,1.0,728,332.33,51.65
USD_JPY,14,30,80,1.0,0.03,1.5,728,-424.99,42.03
USD_JPY,14,30,80,1.0,0.03,2.0,728,-642.89,37.77
