time,open,high,low,close,volume
2025-03-31T06:00:00.000000000Z,1.29564,1.2958,1.29489,1.29576,2277
2025-03-31T06:15:00.000000000Z,1.29578,1.29648,1.29576,1.29624,2399
2025-03-31T06:30:00.000000000Z,1.29625,1.29646,1.29564,1.29594,1867
2025-03-31T06:45:00.000000000Z,1.29594,1.29674,1.29566,1.29662,2539
2025-03-31T07:00:00.000000000Z,1.29662,1.29728,1.29595,1.29649,4308
2025-03-31T07:15:00.000000000Z,1.29648,1.29703,1.29616,1.29634,3973
2025-03-31T07:30:00.000000000Z,1.29634,1.29678,1.29584,1.29592,3011
2025-03-31T07:45:00.000000000Z,1.29592,1.29668,1.29556,1.29566,2765
2025-03-31T08:00:00.000000000Z,1.29566,1.29614,1.29436,1.29474,3052
2025-03-31T08:15:00.000000000Z,1.29474,1.29494,1.2936,1.2936,2344
2025-03-31T08:30:00.000000000Z,1.29362,1.29468,1.29354,1.29446,2430
2025-03-31T08:45:00.000000000Z,1.29444,1.29496,1.29425,1.29444,2024
2025-03-31T09:00:00.000000000Z,1.29445,1.29447,1.2937,1.29383,1832
2025-03-31T09:15:00.000000000Z,1.29382,1.2941,1.29356,1.29398,1960
2025-03-31T09:30:00.000000000Z,1.29398,1.2942,1.29353,1.29354,1434
2025-03-31T09:45:00.000000000Z,1.29356,1.29364,1.29239,1.2928,2147
2025-03-31T10:00:00.000000000Z,1.29278,1.29312,1.29182,1.29215,1938
2025-03-31T10:15:00.000000000Z,1.29214,1.29317,1.29199,1.29317,1962
2025-03-31T10:30:00.000000000Z,1.29316,1.29356,1.29292,1.2932,1900
2025-03-31T10:45:00.000000000Z,1.2932,1.29441,1.2931,1.29384,2333
2025-03-31T11:00:00.000000000Z,1.29384,1.29468,1.29372,1.29442,2044
2025-03-31T11:15:00.000000000Z,1.29442,1.2947,1.29396,1.29439,2071
2025-03-31T11:30:00.000000000Z,1.29439,1.29594,1.2943,1.29584,2094
2025-03-31T11:45:00.000000000Z,1.29584,1.29594,1.29512,1.29529,1663
2025-03-31T12:00:00.000000000Z,1.29528,1.29587,1.29439,1.29504,2181
2025-03-31T12:15:00.000000000Z,1.29507,1.29515,1.29422,1.29428,2296
2025-03-31T12:30:00.000000000Z,1.29426,1.29443,1.29373,1.29381,2091
2025-03-31T12:45:00.000000000Z,1.2938,1.29388,1.29309,1.29324,2492
2025-03-31T13:00:00.000000000Z,1.29324,1.29414,1.29322,1.29375,2717
2025-03-31T13:15:00.000000000Z,1.29374,1.29407,1.29342,1.29366,1948
2025-03-31T13:30:00.000000000Z,1.2937,1.29407,1.29337,1.29384,2679
2025-03-31T13:45:00.000000000Z,1.29385,1.29388,1.29262,1.29304,3655
2025-03-31T14:00:00.000000000Z,1.29304,1.29322,1.29224,1.29264,3424
2025-03-31T14:15:00.000000000Z,1.29266,1.29294,1.29045,1.29084,3477
2025-03-31T14:30:00.000000000Z,1.29086,1.29178,1.2903,1.2903,3132
2025-03-31T14:45:00.000000000Z,1.29031,1.2927,1.2903,1.291,6602
2025-03-31T15:00:00.000000000Z,1.29096,1.29214,1.29042,1.29124,6984
2025-03-31T15:15:00.000000000Z,1.29124,1.29202,1.29109,1.29202,3803
2025-03-31T15:30:00.000000000Z,1.29202,1.29212,1.2901,1.29034,3353
2025-03-31T15:45:00.000000000Z,1.29032,1.29097,1.28902,1.28912,3395
2025-03-31T16:00:00.000000000Z,1.28914,1.2899,1.28891,1.28974,3113
2025-03-31T16:15:00.000000000Z,1.28975,1.29014,1.28863,1.28988,3130
2025-03-31T16:30:00.000000000Z,1.28986,1.29087,1.28952,1.29086,2773
2025-03-31T16:45:00.000000000Z,1.29086,1.29151,1.29067,1.29067,1683
2025-03-31T17:00:00.000000000Z,1.29066,1.29162,1.29061,1.29136,1503
2025-03-31T17:15:00.000000000Z,1.29138,1.29144,1.29078,1.29104,1672
2025-03-31T17:30:00.000000000Z,1.29103,1.29142,1.2909,1.29134,1482
2025-03-31T17:45:00.000000000Z,1.29134,1.29134,1.29078,1.29079,1383
2025-03-31T18:00:00.000000000Z,1.29078,1.2909,1.29048,1.29084,1353
2025-03-31T18:15:00.000000000Z,1.29083,1.29093,1.29054,1.2908,1465
2025-03-31T18:30:00.000000000Z,1.2908,1.29143,1.29078,1.29116,1294
2025-03-31T18:45:00.000000000Z,1.29114,1.29135,1.29088,1.29109,1385
2025-03-31T19:00:00.000000000Z,1.2911,1.29134,1.29092,1.29124,1150
2025-03-31T19:15:00.000000000Z,1.2912,1.29166,1.29119,1.29164,1171
2025-03-31T19:30:00.000000000Z,1.29164,1.29214,1.29154,1.29202,1388
2025-03-31T19:45:00.000000000Z,1.292,1.29247,1.2917,1.29188,1886
